sample_number,elapsed_seconds,datetime,system_time,chronotick_time,chronotick_offset_ms,chronotick_uncertainty_ms,chronotick_confidence,chronotick_source,ntp_time,ntp_offset_ms,ntp_uncertainty_ms,ntp_server,has_ntp
56,550.2668828964233,2025-10-10T20:08:54.892186,1760144934.8921857,1760144935.1223195,230.13388606902922,0.9992476792527237,0.5,cpu+ntp,,,,,False
57,560.267897605896,2025-10-10T20:09:04.893200,1760144944.8931997,1760144945.1289363,235.7366658146569,0.9992534792712148,0.5,cpu+ntp,,,,,False
58,570.2689683437347,2025-10-10T20:09:14.894271,1760144954.8942707,1760144955.1351643,240.89357345342736,0.9992592125316003,0.5,cpu+ntp,,,,,False
59,580.2701408863068,2025-10-10T20:09:24.895443,1760144964.8954434,1760144965.143002,247.5585215006926,0.9992648800792323,0.5,cpu+ntp,,,,,False
60,590.2713418006897,2025-10-10T20:09:34.896644,1760144974.896644,1760144975.1499867,253.34260725064078,0.9992704828727726,0.5,cpu+ntp,,,,,False
61,600.2724282741547,2025-10-10T20:09:44.897731,1760144984.8977308,1760144985.1602657,262.5349160835351,0.9992760218164018,0.5,cpu+ntp,1760144985.0489678,110.84699630737305,0.0,time.google.com,True
62,610.3315427303314,2025-10-10T20:09:54.956845,1760144994.9568453,1760144995.228193,271.34777708305324,0.9992815295303664,0.5,cpu+ntp,,,,,False
63,620.3326966762543,2025-10-10T20:10:04.957999,1760145004.957999,1760145005.2398436,281.8445542293056,0.999286943456945,0.5,cpu+ntp,,,,,False
64,630.3337571620941,2025-10-10T20:10:14.959059,1760145014.9590595,1760145015.2550359,295.9762942655725,0.999292296391423,0.5,cpu+ntp,,,,,False
65,640.3348407745361,2025-10-10T20:10:24.960143,1760145024.960143,1760145025.2712026,311.05951834470255,0.9992975893076321,0.5,cpu+ntp,,,,,False
66,650.3359618186951,2025-10-10T20:10:34.961264,1760145034.9612641,1760145035.290907,329.6427566729786,0.9993028231065685,0.5,cpu+ntp,,,,,False
67,660.3370409011841,2025-10-10T20:10:44.962343,1760145044.9623435,1760145045.3125467,350.5982756614685,1.0,0.95,cpu,,,,,False
68,670.3380947113037,2025-10-10T20:10:54.963397,1760145054.963397,1760145055.1042297,140.55407047271729,1.0,0.95,cpu,,,,,False
69,680.3390793800354,2025-10-10T20:11:04.964382,1760145064.9643817,1760145065.1041524,139.5971179008484,1.0,0.95,cpu,,,,,False
70,690.3401362895966,2025-10-10T20:11:14.965440,1760145074.9654396,1760145075.1052668,139.8019641637802,1.0,0.95,cpu,,,,,False
71,700.3411340713501,2025-10-10T20:11:24.966437,1760145084.9664366,1760145085.1046622,138.24358582496643,1.0,0.95,cpu,,,,,False
72,710.3421604633331,2025-10-10T20:11:34.967463,1760145094.9674633,1760145095.1045663,137.1539682149887,1.0,0.95,cpu,,,,,False
73,720.3432590961456,2025-10-10T20:11:44.968561,1760145104.9685614,1760145105.1049886,136.46893203258514,1.0,0.95,cpu,1760145105.1163187,113.34013938903809,0.0,time.google.com,True
74,730.394134759903,2025-10-10T20:11:55.019437,1760145115.019437,1760145115.1573822,137.81939446926117,1.0,0.95,cpu,,,,,False
75,740.3951804637909,2025-10-10T20:12:05.020483,1760145125.020483,1760145125.1601963,139.45922255516052,1.0,0.95,cpu,,,,,False
76,750.3961231708527,2025-10-10T20:12:15.021425,1760145135.0214252,1760145135.161404,140.77088236808777,1.0,0.95,cpu,,,,,False
77,760.3978476524353,2025-10-10T20:12:25.023150,1760145145.02315,1760145145.164087,141.48032665252686,1.0,0.95,cpu,,,,,False
78,770.3988242149353,2025-10-10T20:12:35.024127,1760145155.0241268,1760145155.1655285,141.64678752422333,1.0,0.95,cpu,,,,,False
79,780.399876832962,2025-10-10T20:12:45.025179,1760145165.0251794,1760145165.1686208,143.57610046863556,1.0,0.95,cpu,,,,,False
80,790.4009625911713,2025-10-10T20:12:55.026265,1760145175.026265,1760145175.1714685,145.7540988922119,1.0,0.95,cpu,,,,,False
81,800.4020373821259,2025-10-10T20:13:05.027341,1760145185.027341,1760145185.176765,150.34016966819763,1.0,0.95,cpu,,,,,False
82,810.403767824173,2025-10-10T20:13:15.029070,1760145195.0290704,1760145195.185976,158.15046429634094,1.0,0.95,cpu,,,,,False
83,820.4047591686249,2025-10-10T20:13:25.030061,1760145205.0300615,1760145205.1920552,163.8055294752121,1.0,0.95,cpu,,,,,False
84,830.4058256149292,2025-10-10T20:13:35.031128,1760145215.0311284,1760145215.2019925,172.4926382303238,1.0,0.95,cpu,,,,,False
85,840.406801700592,2025-10-10T20:13:45.032104,1760145225.032104,1760145225.21297,182.6465129852295,1.0,0.95,cpu,1760145225.1837626,118.93320083618164,0.0,time.google.com,True
86,850.4558701515198,2025-10-10T20:13:55.081173,1760145235.0811734,1760145235.2717013,193.15123558044434,1.0,0.95,cpu,,,,,False
87,860.4579734802246,2025-10-10T20:14:05.083276,1760145245.0832763,1760145245.2864137,206.490620970726,1.0,0.95,cpu,,,,,False
88,870.4589681625366,2025-10-10T20:14:15.084270,1760145255.0842702,1760145255.302614,220.26881575584412,1.0,0.95,cpu,,,,,False
89,880.4608736038208,2025-10-10T20:14:25.086176,1760145265.086176,1760145265.3177204,234.1158092021942,1.0,0.95,cpu,,,,,False
90,890.4632861614227,2025-10-10T20:14:35.088589,1760145275.0885887,1760145275.3359857,249.53560531139374,1.0,0.95,cpu,,,,,False
91,900.4654853343964,2025-10-10T20:14:45.090788,1760145285.0907876,1760145285.3610675,270.19190788269043,1.0,0.95,cpu,,,,,False
92,910.4679362773895,2025-10-10T20:14:55.093239,1760145295.0932386,1760145295.3821669,289.19902443885803,1.0,0.95,cpu,,,,,False
93,920.4701859951019,2025-10-10T20:15:05.095488,1760145305.0954883,1760145305.4040012,309.0639114379883,1.0,0.95,cpu,,,,,False
94,930.4724977016449,2025-10-10T20:15:15.097800,1760145315.0978,1760145315.423165,327.063649892807,1.0,0.95,cpu,,,,,False
95,940.474809885025,2025-10-10T20:15:25.100112,1760145325.1001122,1760145325.4407954,340.95698595046997,1.0,0.95,cpu,,,,,False
96,950.4772298336029,2025-10-10T20:15:35.102532,1760145335.1025324,1760145335.4559147,353.2511293888092,1.0,0.95,cpu,,,,,False
