timestamp,elapsed_seconds,datetime,system_time,chronotick_time,chronotick_offset_ms,chronotick_uncertainty_ms,chronotick_confidence,chronotick_source,ntp_offset_ms,ntp_delay_ms,ntp_server,chronotick_error_vs_ntp_ms,system_error_vs_ntp_ms
1760606102.3388307,11590.418385505676,2025-10-16T04:15:02.338831,1760606102.3388307,1760606102.0543408,-284.48981046676636,1.0,0.95,cpu,,,,,
1760606112.3413043,11600.420859098434,2025-10-16T04:15:12.341304,1760606112.3413043,1760606112.0398664,-301.4379143714905,1.0,0.95,cpu,,,,,
1760606122.344082,11610.4236369133,2025-10-16T04:15:22.344082,1760606122.344082,1760606122.2320888,-111.99334263801575,1.0,0.95,cpu,3.049612045288086,11.451244354248047,pool.ntp.org,-115.04,-3.05
1760606132.3587942,11620.43834900856,2025-10-16T04:15:32.358794,1760606132.3587942,1760606132.2110755,-147.71871268749237,1.0,0.95,cpu,,,,,
1760606142.3609655,11630.44052028656,2025-10-16T04:15:42.360965,1760606142.3609655,1760606142.1810222,-179.94336783885956,1.0,0.95,cpu,,,,,
1760606152.363094,11640.442648887634,2025-10-16T04:15:52.363094,1760606152.363094,1760606152.1602883,-202.80566811561584,1.0,0.95,cpu,,,,,
1760606162.365252,11650.444806814194,2025-10-16T04:16:02.365252,1760606162.365252,1760606162.147654,-217.59800612926483,1.0,0.95,cpu,,,,,
1760606172.367788,11660.44734287262,2025-10-16T04:16:12.367788,1760606172.367788,1760606172.140127,-227.6611477136612,1.0,0.95,cpu,,,,,
1760606182.3700736,11670.449628353119,2025-10-16T04:16:22.370074,1760606182.3700736,1760606182.1368008,-233.27279090881348,1.0,0.95,cpu,,,,,
1760606192.3721414,11680.451696157455,2025-10-16T04:16:32.372141,1760606192.3721414,1760606192.1349027,-237.23861575126648,1.0,0.95,cpu,,,,,
1760606202.374166,11690.45372080803,2025-10-16T04:16:42.374166,1760606202.374166,1760606202.1320803,-242.08563566207886,1.0,0.95,cpu,,,,,
1760606212.3762798,11700.455834627151,2025-10-16T04:16:52.376280,1760606212.3762798,1760606212.1317253,-244.55440044403076,1.0,0.95,cpu,,,,,
1760606222.3785126,11710.458067417145,2025-10-16T04:17:02.378513,1760606222.3785126,1760606222.1300416,-248.47105145454407,1.0,0.95,cpu,-2.938508987426758,61.53726577758789,pool.ntp.org,-245.53,2.94
1760606232.4622555,11720.541810274124,2025-10-16T04:17:12.462255,1760606232.4622555,1760606232.2110145,-251.2410283088684,1.0,0.95,cpu,,,,,
1760606242.4644313,11730.543986082077,2025-10-16T04:17:22.464431,1760606242.4644313,1760606242.209847,-254.58425283432007,1.0,0.95,cpu,,,,,
1760606252.4666135,11740.546168327332,2025-10-16T04:17:32.466614,1760606252.4666135,1760606252.2109725,-255.64101338386536,1.0,0.95,cpu,,,,,
1760606262.4687488,11750.548303604126,2025-10-16T04:17:42.468749,1760606262.4687488,1760606262.2113078,-257.44107365608215,1.0,0.95,cpu,,,,,
