event_id,sequence_number_coord,send_time_ns,send_time_iso,ntp_offset_ms_coord,ntp_timestamp_ns_coord,ct_offset_ms_coord,ct_timestamp_ns_coord,pattern_delay_ms,workers_sent,workers_failed,node_id,sequence_number_worker,receive_time_ns,coordinator_send_time_ns,ntp_offset_ms_worker,ntp_uncertainty_ms,ntp_timestamp_ns_worker,ct_offset_ms_worker,ct_drift_rate,ct_uncertainty_ms,ct_confidence,ct_source,ct_prediction_time,ct_timestamp_ns_worker,ct_lower_bound_ns,ct_upper_bound_ns,ct_latency_ns,ct_latency_ms,sys_latency_ns,sys_latency_ms,ct_violation,sys_violation
27,26,1761411687846096718,2025-10-25 17:01:27,-4.652023315429688,1761411687841444695,,,600.0,"ares-comp-11:9000,ares-comp-12:9000",,comp12,26,1761411687847167259,1761411687846086814,-23.746013641357425,5.0,1761411687823421246,1.103792394837548,5.555782987885696e-06,0.0216255793930031,0.9998828,cpu,1761411687.0,1761411687848271051,1761411687848206175,1761411687848335927,2184237,2.184237,1080445,1.080445,False,False
28,27,1761411688447719729,2025-10-25 17:01:28,-4.652023315429688,1761411688443067706,,,600.0,"ares-comp-11:9000,ares-comp-12:9000",,comp12,27,1761411688448764516,1761411688447710152,-23.746013641357425,5.0,1761411688425018503,1.0978269470057644,5.555782987885696e-06,0.0234377239394234,0.9998828,cpu,1761411688.0,1761411688449862342,1761411688449792029,1761411688449932655,2152190,2.15219,1054364,1.054364,False,False
29,28,1761411689049318119,2025-10-25 17:01:29,-4.652023315429688,1761411689044666096,,,600.0,"ares-comp-11:9000,ares-comp-12:9000",,comp12,28,1761411689050367376,1761411689049308225,-23.746013641357425,5.0,1761411689026621363,1.0936873915211638,5.555782987885696e-06,0.0291768174065509,0.9998828,cpu,1761411689.0,1761411689051461063,1761411689051373533,1761411689051548593,2152838,2.152838,1059151,1.059151,False,False
30,29,1761411689650913202,2025-10-25 17:01:29,-4.652023315429688,1761411689646261179,,,600.0,"ares-comp-11:9000,ares-comp-12:9000",,comp12,29,1761411689651961427,1761411689650903570,-23.746013641357425,5.0,1761411689628215414,1.0970297157476607,5.555782987885696e-06,0.0291768174065509,0.9998828,cpu,1761411689.0,1761411689653058456,1761411689652970926,1761411689653145986,2154886,2.154886,1057857,1.057857,False,False
31,30,1761411690252732492,2025-10-25 17:01:30,-4.652023315429688,1761411690248080469,,,600.0,"ares-comp-11:9000,ares-comp-12:9000",,comp12,30,1761411690253921805,1761411690252722292,-23.746013641357425,5.0,1761411690230175792,1.0014107341233904,5.555782987885696e-06,0.00894089043868,0.9999106,cpu,1761411690.0,1761411690254923215,1761411690254896393,1761411690254950037,2200923,2.200923,1199513,1.199513,False,False
32,31,1761411690854365283,2025-10-25 17:01:30,-4.652023315429688,1761411690849713260,,,600.0,"ares-comp-11:9000,ares-comp-12:9000",,comp12,31,1761411690855826532,1761411690854355961,-23.746013641357425,5.0,1761411690832080519,1.0047547856307466,5.555782987885696e-06,0.00894089043868,0.9999106,cpu,1761411690.0,1761411690856831286,1761411690856804464,1761411690856858108,2475325,2.475325,1470571,1.470571,False,False
33,32,1761411691455974903,2025-10-25 17:01:31,-4.652023315429688,1761411691451322880,,,600.0,"ares-comp-11:9000,ares-comp-12:9000",,comp12,32,1761411691457198631,1761411691455965346,-23.746013641357425,5.0,1761411691433452618,1.002540096314206,5.555782987885696e-06,0.0108183940028538,0.9999106,cpu,1761411691.0,1761411691458201171,1761411691458168716,1761411691458233626,2235825,2.235825,1233285,1.233285,False,False
34,33,1761411692057577136,2025-10-25 17:01:32,-23.510217666625977,1761411692034066919,,,600.0,"ares-comp-11:9000,ares-comp-12:9000",,comp12,33,1761411692059098551,1761411692057568052,-23.630619049072266,5.0,1761411692035467932,1.0003283396662404,5.555782987885696e-06,0.0145024960147566,0.9999106,cpu,1761411692.0,1761411692060098879,1761411692060055372,1761411692060142386,2530827,2.530827,1530499,1.530499,False,False
35,34,1761411692702719904,2025-10-25 17:01:32,-23.510217666625977,1761411692679209687,,,600.0,"ares-comp-11:9000,ares-comp-12:9000",,comp12,34,1761411692703848259,1761411692702708550,-23.630619049072266,5.0,1761411692680217640,1.0039104274308768,5.555782987885696e-06,0.0145024960147566,0.9999106,cpu,1761411692.0,1761411692704852169,1761411692704808662,1761411692704895676,2143619,2.143619,1139709,1.139709,False,False
36,35,1761411693304405737,2025-10-25 17:01:33,-23.510217666625977,1761411693280895520,,,600.0,"ares-comp-11:9000,ares-comp-12:9000",,comp12,35,1761411693305467953,1761411693304394608,-23.630619049072266,5.0,1761411693281837334,1.0016971130510937,5.555782987885696e-06,0.0159625069500179,0.9999106,cpu,1761411693.0,1761411693306469650,1761411693306421763,1761411693306517537,2075042,2.075042,1073345,1.073345,False,False
