event_id,sequence_number_coord,send_time_ns,send_time_iso,ntp_offset_ms_coord,ntp_timestamp_ns_coord,ct_offset_ms_coord,ct_timestamp_ns_coord,pattern_delay_ms,workers_sent,workers_failed,node_id,sequence_number_worker,receive_time_ns,coordinator_send_time_ns,ntp_offset_ms_worker,ntp_uncertainty_ms,ntp_timestamp_ns_worker,ct_offset_ms_worker,ct_drift_rate,ct_uncertainty_ms,ct_confidence,ct_source,ct_prediction_time,ct_timestamp_ns_worker,ct_lower_bound_ns,ct_upper_bound_ns,ct_latency_ns,ct_latency_ms,sys_latency_ns,sys_latency_ms,ct_violation,sys_violation
32,31,1761411690854365283,2025-10-25 17:01:30,-4.652023315429688,1761411690849713260,,,600.0,"ares-comp-11:9000,ares-comp-12:9000",,comp11,31,1761411690854961023,1761411690854355961,-23.2539176940918,5.0,1761411690831707106,1.2196401755015056,0.0,5.0,0.7,ntp_warm_up,1761411690.854961,1761411690856180663,1761411690841180663,1761411690871180663,1824702,1.824702,605062,0.605062,False,False
33,32,1761411691455974903,2025-10-25 17:01:31,-4.652023315429688,1761411691451322880,,,600.0,"ares-comp-11:9000,ares-comp-12:9000",,comp11,32,1761411691456887068,1761411691455965346,-23.2539176940918,5.0,1761411691433633151,1.2196401755015056,0.0,5.0,0.7,ntp_warm_up,1761411691.456887,1761411691458106708,1761411691443106708,1761411691473106708,2141362,2.141362,921722,0.921722,False,False
34,33,1761411692057577136,2025-10-25 17:01:32,-23.510217666625977,1761411692034066919,,,600.0,"ares-comp-11:9000,ares-comp-12:9000",,comp11,33,1761411692058168638,1761411692057568052,-4.753828048706055,5.0,1761411692053414810,1.2196401755015056,0.0,5.0,0.7,ntp_warm_up,1761411692.0581686,1761411692059388278,1761411692044388278,1761411692074388278,1820226,1.820226,600586,0.600586,False,False
35,34,1761411692702719904,2025-10-25 17:01:32,-23.510217666625977,1761411692679209687,,,600.0,"ares-comp-11:9000,ares-comp-12:9000",,comp11,34,1761411692703400060,1761411692702708550,-4.753828048706055,5.0,1761411692698646232,1.2196401755015056,0.0,5.0,0.7,ntp_warm_up,1761411692.7034,1761411692704619700,1761411692689619700,1761411692719619700,1911150,1.91115,691510,0.69151,False,False
36,35,1761411693304405737,2025-10-25 17:01:33,-23.510217666625977,1761411693280895520,,,600.0,"ares-comp-11:9000,ares-comp-12:9000",,comp11,35,1761411693305017054,1761411693304394608,-4.753828048706055,5.0,1761411693300263226,1.2196401755015056,0.0,5.0,0.7,ntp_warm_up,1761411693.305017,1761411693306236694,1761411693291236694,1761411693321236694,1842086,1.842086,622446,0.622446,False,False
37,36,1761411693906026751,2025-10-25 17:01:33,-23.510217666625977,1761411693882516534,,,600.0,"ares-comp-11:9000,ares-comp-12:9000",,comp11,36,1761411693906626812,1761411693906016471,-4.753828048706055,5.0,1761411693901872984,1.2196401755015056,0.0,5.0,0.7,ntp_warm_up,1761411693.9066267,1761411693907846452,1761411693892846452,1761411693922846452,1829981,1.829981,610341,0.610341,False,False
38,37,1761411694507661216,2025-10-25 17:01:34,-23.510217666625977,1761411694484150999,,,600.0,"ares-comp-11:9000,ares-comp-12:9000",,comp11,37,1761411694508260096,1761411694507651365,-4.753828048706055,5.0,1761411694503506268,1.2196401755015056,0.0,5.0,0.7,ntp_warm_up,1761411694.50826,1761411694509479736,1761411694494479736,1761411694524479736,1828371,1.828371,608731,0.608731,False,False
39,38,1761411695109263655,2025-10-25 17:01:35,-23.510217666625977,1761411695085753438,,,600.0,"ares-comp-11:9000,ares-comp-12:9000",,comp11,38,1761411695109859742,1761411695109254083,-4.753828048706055,5.0,1761411695105105914,1.2196401755015056,0.0,5.0,0.7,ntp_warm_up,1761411695.10986,1761411695111079382,1761411695096079382,1761411695126079382,1825299,1.825299,605659,0.605659,False,False
40,39,1761411695710853271,2025-10-25 17:01:35,-23.510217666625977,1761411695687343054,,,600.0,"ares-comp-11:9000,ares-comp-12:9000",,comp11,39,1761411695711470211,1761411695710843637,-4.753828048706055,5.0,1761411695706716383,1.2196401755015056,0.0,5.0,0.7,ntp_warm_up,1761411695.7114704,1761411695712689851,1761411695697689851,1761411695727689851,1846214,1.846214,626574,0.626574,False,False
41,40,1761411696312697931,2025-10-25 17:01:36,-23.510217666625977,1761411696289187714,,,600.0,"ares-comp-11:9000,ares-comp-12:9000",,comp11,40,1761411696313324109,1761411696312687666,-4.753828048706055,5.0,1761411696308570281,1.2196401755015056,0.0,5.0,0.7,ntp_warm_up,1761411696.313324,1761411696314543749,1761411696299543749,1761411696329543749,1856083,1.856083,636443,0.636443,False,False
