timestamp,elapsed_seconds,datetime,system_time,chronotick_time,chronotick_offset_ms,chronotick_uncertainty_ms,chronotick_confidence,chronotick_source,ntp_offset_ms,ntp_delay_ms,ntp_server,chronotick_error_vs_ntp_ms,system_error_vs_ntp_ms
1760587121.8327394,26898.635620117188,2025-10-15T22:58:41.832739,1760587121.8327394,1760587121.824284,-8.455266244709492,1.0,0.95,cpu,,,,,
1760587131.8350961,26908.637976884842,2025-10-15T22:58:51.835096,1760587131.8350961,1760587131.8283908,-6.705342326313257,1.0,0.95,cpu,,,,,
1760587141.8372142,26918.6400949955,2025-10-15T22:59:01.837214,1760587141.8372142,1760587141.8357198,-1.4944798313081264,1.0,0.95,cpu,,,,,
1760587151.8392806,26928.642161369324,2025-10-15T22:59:11.839281,1760587151.8392806,1760587151.8393512,0.07068313425406814,1.0,0.95,cpu,,,,,
1760587161.841323,26938.644203662872,2025-10-15T22:59:21.841323,1760587161.841323,1760587161.8420775,0.7546184351667762,1.0,0.95,cpu,-0.07963180541992188,65.38200378417969,pool.ntp.org,0.83,0.08
1760587171.9110239,26948.713904619217,2025-10-15T22:59:31.911024,1760587171.9110239,1760587171.912221,1.1970200575888157,1.0,0.95,cpu,,,,,
1760587181.913038,26958.715918779373,2025-10-15T22:59:41.913038,1760587181.913038,1760587181.9146235,1.5854729572311044,1.0,0.95,cpu,,,,,
1760587191.915362,26968.718242645264,2025-10-15T22:59:51.915362,1760587191.915362,1760587191.917292,1.9301768625155091,1.0,0.95,cpu,,,,,
1760587201.9172873,26978.72016811371,2025-10-15T23:00:01.917287,1760587201.9172873,1760587201.919335,2.047504298388958,1.0,0.95,cpu,,,,,
1760587211.918381,26988.72126173973,2025-10-15T23:00:11.918381,1760587211.918381,1760587211.9201043,1.7233453691005707,1.0,0.95,cpu,,,,,
1760587221.9193056,26998.72218632698,2025-10-15T23:00:21.919306,1760587221.9193056,1760587221.9196367,0.33104937756434083,1.0,0.95,cpu,,,,,
1760587231.9202814,27008.723162174225,2025-10-15T23:00:31.920281,1760587231.9202814,1760587231.916702,-3.579274518415332,1.0,0.95,cpu,,,,,
1760587241.9223928,27018.72527360916,2025-10-15T23:00:41.922393,1760587241.9223928,1760587241.9155154,-6.877358071506023,1.0,0.95,cpu,,,,,
1760587251.925136,27028.728016853333,2025-10-15T23:00:51.925136,1760587251.925136,1760587251.9175491,-7.587038911879063,1.0,0.95,cpu,,,,,
1760587261.9275053,27038.730386018753,2025-10-15T23:01:01.927505,1760587261.9275053,1760587261.9210389,-6.466377060860395,1.0,0.95,cpu,9.19485092163086,80.83057403564453,pool.ntp.org,-15.66,-9.19
1760587272.0124326,27048.815313339233,2025-10-15T23:01:12.012433,1760587272.0124326,1760587272.0098722,-2.560407854616642,1.0,0.95,cpu,,,,,
1760587282.014571,27058.81745171547,2025-10-15T23:01:22.014571,1760587282.014571,1760587282.0156796,1.108568161725998,1.0,0.95,cpu,,,,,
1760587292.0174015,27068.82028222084,2025-10-15T23:01:32.017401,1760587292.0174015,1760587292.0192745,1.873037195764482,1.0,0.95,cpu,,,,,
1760587302.0193255,27078.822206258774,2025-10-15T23:01:42.019325,1760587302.0193255,1760587302.021813,2.48736166395247,1.0,0.95,cpu,,,,,
1760587312.0213609,27088.824241638184,2025-10-15T23:01:52.021361,1760587312.0213609,1760587312.024542,3.1811599619686604,1.0,0.95,cpu,,,,,
1760587322.0227554,27098.825636148453,2025-10-15T23:02:02.022755,1760587322.0227554,1760587322.026103,3.3477148972451687,1.0,0.95,cpu,,,,,
1760587332.0248225,27108.827703237534,2025-10-15T23:02:12.024822,1760587332.0248225,1760587332.0270672,2.244718838483095,1.0,0.95,cpu,,,,,
1760587342.0267203,27118.829601049423,2025-10-15T23:02:22.026720,1760587342.0267203,1760587342.0252008,-1.519458368420601,1.0,0.95,cpu,,,,,
1760587352.0297453,27128.832626104355,2025-10-15T23:02:32.029745,1760587352.0297453,1760587352.0248322,-4.913068376481533,1.0,0.95,cpu,,,,,
1760587362.0317252,27138.834605932236,2025-10-15T23:02:42.031725,1760587362.0317252,1760587362.0261254,-5.599704105407,1.0,0.95,cpu,3.1244754791259766,35.73751449584961,pool.ntp.org,-8.72,-3.12
1760587372.0836987,27148.88657951355,2025-10-15T23:02:52.083699,1760587372.0836987,1760587372.078656,-5.042814649641514,1.0,0.95,cpu,,,,,
1760587382.0856447,27158.888525485992,2025-10-15T23:03:02.085645,1760587382.0856447,1760587382.0826867,-2.9580991249531507,1.0,0.95,cpu,,,,,
1760587392.0880105,27168.890891313553,2025-10-15T23:03:12.088011,1760587392.0880105,1760587392.0890994,1.0888563701882958,1.0,0.95,cpu,,,,,
1760587402.0902443,27178.89312505722,2025-10-15T23:03:22.090244,1760587402.0902443,1760587402.0922935,2.0493168849498034,1.0,0.95,cpu,,,,,
